Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
119617,Aditya Birla Sun Life India Opportunities Fund - Dividend - Direct Plan,INF209K01P98,,41.55,41.13,41.55,2017-12-01
100065,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,INF209K01280,INF209K01CK2,30.17,29.87,30.17,2017-12-01
119618,Aditya Birla Sun Life India Opportunities Fund - Growth - Direct Plan,INF209K01VR7,,149.91,148.41,149.91,2017-12-01
100066,Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan,INF209K01298,,145.3,143.85,145.30,2017-12-01
119537,Aditya Birla Sun Life India Reforms Fund - Dividend - Direct Plan,INF209K01ZA4,,20.89,20.68,20.89,2017-12-01
119536,Aditya Birla Sun Life India Reforms Fund - Growth - Direct Plan,INF209K01YZ4,,20.88,20.67,20.88,2017-12-01
112922,Aditya Birla Sun Life India Reforms Fund-DIVIDEND,INF209K01EL6,INF209K01EM4,15.88,15.72,15.88,2017-12-01
112921,Aditya Birla Sun Life India Reforms Fund-GROWTH,INF209K01EK8,,20.19,19.99,20.19,2017-12-01
107505,Aditya Birla Sun Life Special Situations Fund - Dividend,INF209K01553,INF209K01CX5,17.405,17.2309,17.4050,2017-12-01
119547,Aditya Birla Sun Life Special Situations Fund - Dividend - Direct Plan,INF209K01R05,INF209K01WX3,23.243,23.0106,23.2430,2017-12-01
107504,Aditya Birla Sun Life Special Situations Fund - Growth,INF209K01561,,25.1772,24.9254,25.1772,2017-12-01
119546,Aditya Birla Sun Life Special Situations Fund - Growth - Direct Plan,INF209K01WW5,,25.9565,25.6969,25.9565,2017-12-01
119064,HDFC Index Fund Sensex Plus Plan-Direct Plan,INF179K01WO7,,457.5856,456.4416,457.5856,2017-12-01
101282,HDFC Index Fund-Sensex Plus( FV-Rs32.161),INF179K01LB7,,451.071,449.9433,451.0710,2017-12-01
118640,Reliance Focused Large Cap Fund - Direct Plan Dividend Plan,INF204K01XJ1,INF204K01XK9,20.6384,20.4320,20.6384,2017-12-01
118641,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Bonus Option,INF204K01D48,,30.54,30.2346,30.5400,2017-12-01
118643,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01XL7,,30.54,30.2346,30.5400,2017-12-01
103749,Reliance Focused Large Cap Fund-Dividend Plan,INF204K01653,INF204K01661,20.0426,19.8422,20.0426,2017-12-01
103748,Reliance Focused Large Cap Fund-Growth Plan-Bonus Option,INF204K01679,,29.5158,29.2206,29.5158,2017-12-01
103747,Reliance Focused Large Cap Fund-Growth Plan-Growth Option,INF204K01687,,29.5158,29.2206,29.5158,2017-12-01
120373,SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH - Direct,INF515L01AJ6,,65.3279,64.6746,65.3279,2017-12-01
109493,SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH OPTION,INF515L01494,,62.5979,61.9719,62.5979,2017-12-01
120374,SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND - Direct,INF515L01AH0,INF515L01AI8,22.4838,22.2590,22.4838,2017-12-01
109494,SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND OPTION,INF515L01478,INF515L01486,22.1295,21.9082,22.1295,2017-12-01
101529,Sahara Growth Fund-Dividend,INF515L01155,INF515L01163,42.1874,41.7655,42.1874,2017-12-01
120288,Sahara Growth Fund-Dividend- Direct,INF515L01759,INF515L01767,42.8468,42.4183,42.8468,2017-12-01
101528,Sahara Growth Fund-Growth,INF515L01171,,145.2843,143.8315,145.2843,2017-12-01
120289,Sahara Growth Fund-Growth- Direct,INF515L01775,,158.2861,156.7032,158.2861,2017-12-01
120352,Sahara Infrastructure Fund ---FIXED PRICING -Direct-Dividend,INF515L01924,INF515L01932,21.0653,20.8546,21.0653,2017-12-01
120353,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Direct-Growth,INF515L01940,,29.9603,29.6607,29.9603,2017-12-01
103730,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Dividend Option,INF515L01320,INF515L01338,20.7759,20.5681,20.7759,2017-12-01
103731,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Growth Option,INF515L01346,,28.4508,28.1663,28.4508,2017-12-01
120354,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Direct-Dividend,INF515L01957,INF515L01965,24.0756,23.8348,24.0756,2017-12-01
120355,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Direct-Growth,INF515L01973,,32.9282,32.5989,32.9282,2017-12-01
103732,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Dividend Option,INF515L01353,INF515L01361,23.807,23.5689,23.8070,2017-12-01
103733,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Growth Option,INF515L01379,,32.3627,32.0391,32.3627,2017-12-01
100798,Sahara Midcap Fund-Auto Payout,INF515L01247,,85.87,85.0113,85.8700,2017-12-01
120295,Sahara Midcap Fund-Auto Payout- Direct,INF515L01841,,89.9705,89.0708,89.9705,2017-12-01
100799,Sahara Midcap Fund-Bonus,INF515L01254,,85.87,85.0113,85.8700,2017-12-01
120296,Sahara Midcap Fund-Bonus- Direct,INF515L01858,,89.9705,89.0708,89.9705,2017-12-01
120298,Sahara Midcap Fund-Dividend -Direct,INF515L01817,INF515L01825,38.3228,37.9396,38.3228,2017-12-01
100797,Sahara Midcap Fund-Dividend Plan,INF515L01213,INF515L01221,37.8595,37.4809,37.8595,2017-12-01
120297,Sahara Midcap Fund-Growth Option - Direct,INF515L01833,,89.9705,89.0708,89.9705,2017-12-01
100796,Sahara Midcap Fund-Growth Plan,INF515L01239,,85.87,85.0113,85.8700,2017-12-01
108320,Sahara Power & Natural Resources Fund - Dividend Option,INF515L01445,INF515L01452,20.5986,20.3926,20.5986,2017-12-01
120371,Sahara Power & Natural resources Fund- Growth - Direct,INF515L01AG2,,25.3885,25.1346,25.3885,2017-12-01
108321,Sahara Power & Natural resources Fund- Growth Option,INF515L01460,,24.1508,23.9093,24.1508,2017-12-01
120370,Sahara Power & Natural Resources Fund-Dividend - Direct,INF515L01AE7,INF515L01AF4,16.0357,15.8753,16.0357,2017-12-01
106744,Sahara R.E.A.L Fund - Dividend Option,INF515L01387,INF515L01395,22.1537,21.9322,22.1537,2017-12-01
120360,Sahara R.E.A.L Fund - Dividend Option- Direct,INF515L01981,INF515L01999,22.4949,22.2700,22.4949,2017-12-01
106745,Sahara R.E.A.L Fund - Growth  Fund,INF515L01403,,22.1501,21.9286,22.1501,2017-12-01
120361,Sahara R.E.A.L Fund - Growth  Fund- Direct,INF515L01AA5,,23.8461,23.6076,23.8461,2017-12-01
120387,Sahara Star Value Fund-Dividend - Direct,INF515L01AS7,INF515L01AT5,20.3212,20.1180,20.3212,2017-12-01
112104,Sahara Star Value Fund-Dividend Option,INF515L01585,INF515L01593,20.0455,19.8450,20.0455,2017-12-01
120386,Sahara Star Value Fund-Growth - Direct,INF515L01AU3,,27.7786,27.5008,27.7786,2017-12-01
112105,Sahara Star Value Fund-Growth Option,INF515L01601,,25.8759,25.6171,25.8759,2017-12-01
120383,Sahara Super 20 Fund - Dividend - Direct,INF515L01AP3,INF515L01AQ1,16.3573,16.1937,16.3573,2017-12-01
112036,Sahara Super 20 Fund - Dividend Option,INF515L01551,INF515L01569,20.4225,20.2183,20.4225,2017-12-01
120382,Sahara Super 20 Fund - Growth - Direct,INF515L01AR9,,21.6802,21.4634,21.6802,2017-12-01
112037,Sahara Super 20 Fund - Growth Option,INF515L01577,,20.4424,20.2380,20.4424,2017-12-01
120341,Sahara Wealth Plus Fund-Fixed Pricing Option-Direct-Dividend Option,INF515L01866,INF515L01874,34.5925,34.2466,34.5925,2017-12-01
120340,Sahara Wealth Plus Fund-Fixed Pricing Option-Direct-Growth,INF515L01882,,48.655,48.1685,48.6550,2017-12-01
103119,Sahara Wealth Plus Fund-Fixed Pricing Option-Dividend Option,INF515L01262,INF515L01270,34.126,33.7847,34.1260,2017-12-01
103120,Sahara Wealth Plus Fund-Fixed Pricing Option-Growth Option,INF515L01288,,47.9163,47.4371,47.9163,2017-12-01
120344,Sahara Wealth Plus Fund-Variable Pricing Option-Direct -Dividend,INF515L01890,INF515L01908,40.1852,39.7833,40.1852,2017-12-01
120345,Sahara Wealth Plus Fund-Variable Pricing Option-Direct-Growth,INF515L01916,,55.837,55.2786,55.8370,2017-12-01
103121,Sahara Wealth Plus Fund-Variable Pricing Option-Dividend Option,INF515L01296,INF515L01304,39.7019,39.3049,39.7019,2017-12-01
103122,Sahara Wealth Plus Fund-Variable Pricing Option-Growth Option,INF515L01312,,54.7614,54.2138,54.7614,2017-12-01
120756,UTI Bluechip Flexicap Fund - Direct Plan - Dividend Option,INF789F01TV4,INF789F01TW2,25.6418,25.6418,25.6418,2017-12-01
120757,UTI Bluechip Flexicap Fund - Direct Plan - Growth Option,INF789F01TX0,,32.6166,32.6166,32.6166,2017-12-01
103455,UTI Bluechip Flexicap Fund - Regular Plan - Dividend Option,INF789F01760,INF789F01778,25.1996,25.1996,25.1996,2017-12-01
103457,UTI Bluechip Flexicap Fund - Regular Plan - Growth option,INF789F01786,,32.1051,32.1051,32.1051,2017-12-01
131161,UTI Multi Cap Fund - Dividend Option,INF789FA1XV4,INF789FA1XW2,13.7437,13.7437,13.7437,2017-12-01
131162,UTI Multi Cap Fund - Dividend Option - Direct,INF789FA1XS0,INF789FA1XT8,13.9636,13.9636,13.9636,2017-12-01
131163,UTI Multi Cap Fund - Growth Option,INF789FA1XX0,,13.7438,13.7438,13.7438,2017-12-01
131164,UTI Multi Cap Fund - Growth Option - Direct,INF789FA1XU6,,13.9636,13.9636,13.9636,2017-12-01
100121,HDFC Balanced Fund - Dividend Option,INF179K01376,INF179K01384,31.831,31.5130,31.8310,2017-12-01
100122,HDFC Balanced Fund - Growth Option,INF179K01392,,147.028,145.5580,147.0280,2017-12-01
118932,HDFC Balanced Fund -Direct Plan - Dividend Option,INF179K01UX2,INF179K01UY0,34.853,34.5040,34.8530,2017-12-01
118933,HDFC Balanced Fund -Direct Plan - Growth Option,INF179K01UZ7,,153.412,151.8780,153.4120,2017-12-01
101978,HDFC Prudence Fund - Dividend Option,INF179K01AT2,INF179K01AU0,32.291,31.9680,32.2910,2017-12-01
101977,HDFC Prudence Fund - Growth Option,INF179K01AV8,,512.238,507.1160,512.2380,2017-12-01
118990,HDFC Prudence Fund -Direct Plan - Dividend Option,INF179K01YA2,INF179K01YB0,37.916,37.5370,37.9160,2017-12-01
118991,HDFC Prudence Fund -Direct Plan - Growth Option,INF179K01YC8,,532.479,527.1540,532.4790,2017-12-01
101397,Sahara Liquid Fund-Fixed Pricing -  Weekly Dividend Option,,INF515L01064,1027.4373,1027.4373,1027.4373,2017-12-01
101393,Sahara Liquid Fund-Fixed Pricing - Daily Dividend Option,,INF515L01049,1188.5498,1188.5498,1188.5498,2017-12-01
120265,Sahara Liquid Fund-Fixed Pricing - Direct - Weekly Dividend Option,,INF515L01668,1027.4373,1027.4373,1027.4373,2017-12-01
120262,Sahara Liquid Fund-Fixed Pricing - Direct -Growth option,INF515L01650,,2911.1945,2911.1945,2911.1945,2017-12-01
101394,Sahara Liquid Fund-Fixed Pricing - Growth option,INF515L01056,,2908.5129,2908.5129,2908.5129,2017-12-01
101398,Sahara Liquid Fund-Fixed Pricing - Monthly Dividend Option,,INF515L01072,1043.3721,1043.3721,1043.3721,2017-12-01
120253,Sahara Liquid Fund-Fixed Pricing -Direct - Daily Dividend Option- Direct,,INF515L01643,1188.5498,1188.5498,1188.5498,2017-12-01
120266,Sahara Liquid Fund-Fixed Pricing -Direct - Monthly Dividend Option,,INF515L01676,1043.3721,1043.3721,1043.3721,2017-12-01
101399,Sahara Liquid Fund-Variable Pricing - Daily Dividend option,,INF515L01080,1196.1572,1196.1572,1196.1572,2017-12-01
101402,Sahara Liquid Fund-Variable Pricing - Growth option,INF515L01114,,2966.7429,2966.7429,2966.7429,2017-12-01
101400,Sahara Liquid Fund-Variable Pricing - Weekly Dividend Option,,INF515L01098,1204.0508,1204.0508,1204.0508,2017-12-01
120271,Sahara Liquid Fund-Variable Pricing -Direct - Daily Dividend option,,INF515L01684,1038.8267,1038.8267,1038.8267,2017-12-01
120280,Sahara Liquid Fund-Variable Pricing -Direct - Growth option,INF515L01718,,2971.9025,2971.9025,2971.9025,2017-12-01
120272,Sahara Liquid Fund-Variable Pricing -Direct - Weekly Dividend Option,,INF515L01692,1204.0508,1204.0508,1204.0508,2017-12-01
120273,Sahara Liquid Fund-Variable Pricing- Direct - Monthly Dividend Option,,INF515L01700,1055.8972,1055.8972,1055.8972,2017-12-01
101401,Sahara Liquid Fund-Variable Pricing- Monthly Dividend Option,,INF515L01106,1216.9849,1216.9849,1216.9849,2017-12-01
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,,72.29,72.29,72.29,2017-12-01
131740,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Dividend Option,INF084M01BV4,INF084M01BW2,33.35,33.35,33.35,2017-12-01
131739,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Growth Option,INF084M01BU6,,72.1,72.10,72.10,2017-12-01
131738,Aditya Birla Sun Life Tax Savings Fund - Regular Plan - Bonus Option,INF084M01333,,70.23,70.23,70.23,2017-12-01
131737,Aditya Birla Sun Life Tax Savings Fund - Regular Plan - Dividend Option,INF084M01317,INF084M01325,32.55,32.55,32.55,2017-12-01
131736,Aditya Birla Sun Life Tax Savings Fund - Regular Plan - Growth Option,INF084M01309,,70.13,70.13,70.13,2017-12-01
112537,L&T Tax Saver Fund- Regular Plan - Dividend,INF917K01262,INF917K01270,32.05,32.05,32.05,2017-12-01
112538,L&T Tax Saver Fund-Regular Plan - Growth,INF917K01288,,37.39,37.39,37.39,2017-12-01
100337,SaharaTax Gain-Dividend,INF515L01189,INF515L01197,18.0607,17.8801,18.0607,2017-12-01
120290,SaharaTax Gain-Dividend- Direct,INF515L01783,INF515L01791,18.3371,18.1537,18.3371,2017-12-01
100338,SaharaTax Gain-Growth,INF515L01205,,77.1091,76.3380,77.1091,2017-12-01
120291,SaharaTax Gain-Growth- direct,INF515L01809,,79.7989,79.0009,79.7989,2017-12-01
120565,Aditya Birla Sun Life Equity Fund - Dividend - Direct Plan,INF209KA1LE0,INF209K01XY9,128.41,127.13,128.41,2017-12-01
103165,Aditya Birla Sun Life Equity Fund - Dividend - Regular Plan,INF209K01AQ3,INF209K01DT1,102.86,101.83,102.86,2017-12-01
120564,Aditya Birla Sun Life Equity Fund - Growth - Direct Plan,INF209K01XX1,,730.17,722.87,730.17,2017-12-01
103166,Aditya Birla Sun Life Equity Fund - Growth - Regular Plan,INF209K01AJ8,,699.02,692.03,699.02,2017-12-01
