Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
120373,SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH - Direct,INF515L01AJ6,,76.4383,,,2019-04-11
109493,SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH OPTION,INF515L01494,,71.8211,,,2019-04-11
120374,SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND - Direct,INF515L01AH0,INF515L01AI8,25.8943,,,2019-04-11
109494,SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND OPTION,INF515L01478,INF515L01486,25.39,,,2019-04-11
101529,Sahara Growth Fund-Dividend,INF515L01155,INF515L01163,42.8011,,,2019-04-11
120288,Sahara Growth Fund-Dividend- Direct,INF515L01759,INF515L01767,43.6459,,,2019-04-11
101528,Sahara Growth Fund-Growth,INF515L01171,,147.3975,,,2019-04-11
120289,Sahara Growth Fund-Growth- Direct,INF515L01775,,165.3396,,,2019-04-11
120352,Sahara Infrastructure Fund ---FIXED PRICING -Direct-Dividend,INF515L01924,INF515L01932,20.328,,,2019-04-11
120353,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Direct-Growth,INF515L01940,,28.415,,,2019-04-11
103730,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Dividend Option,INF515L01320,INF515L01338,19.0126,,,2019-04-11
103731,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Growth Option,INF515L01346,,26.0361,,,2019-04-11
120354,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Direct-Dividend,INF515L01957,INF515L01965,22.3093,,,2019-04-11
120355,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Direct-Growth,INF515L01973,,31.0272,,,2019-04-11
103732,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Dividend Option,INF515L01353,INF515L01361,22.2476,,,2019-04-11
103733,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Growth Option,INF515L01379,,30.2429,,,2019-04-11
100798,Sahara Midcap Fund-Auto Payout,INF515L01247,,79.6104,,,2019-04-11
120295,Sahara Midcap Fund-Auto Payout- Direct,INF515L01841,,85.3749,,,2019-04-11
100799,Sahara Midcap Fund-Bonus,INF515L01254,,79.6104,,,2019-04-11
120296,Sahara Midcap Fund-Bonus- Direct,INF515L01858,,85.3749,,,2019-04-11
120298,Sahara Midcap Fund-Dividend -Direct,INF515L01817,INF515L01825,35.6803,,,2019-04-11
100797,Sahara Midcap Fund-Dividend Plan,INF515L01213,INF515L01221,35.1108,,,2019-04-11
120297,Sahara Midcap Fund-Growth Option - Direct,INF515L01833,,85.3749,,,2019-04-11
100796,Sahara Midcap Fund-Growth Plan,INF515L01239,,79.6104,,,2019-04-11
108320,Sahara Power & Natural Resources Fund - Dividend Option,INF515L01445,INF515L01452,17.8884,,,2019-04-11
120371,Sahara Power & Natural resources Fund- Growth - Direct,INF515L01AG2,,22.6927,,,2019-04-11
108321,Sahara Power & Natural resources Fund- Growth Option,INF515L01460,,20.9731,,,2019-04-11
120370,Sahara Power & Natural Resources Fund-Dividend - Direct,INF515L01AE7,INF515L01AF4,16.0357,,,2019-04-11
106744,Sahara R.E.A.L Fund - Dividend Option,INF515L01387,INF515L01395,20.6277,,,2019-04-11
120360,Sahara R.E.A.L Fund - Dividend Option- Direct,INF515L01981,INF515L01999,21.0709,,,2019-04-11
106745,Sahara R.E.A.L Fund - Growth  Fund,INF515L01403,,20.6243,,,2019-04-11
120361,Sahara R.E.A.L Fund - Growth  Fund- Direct,INF515L01AA5,,22.828000000000003,,,2019-04-11
120387,Sahara Star Value Fund-Dividend - Direct,INF515L01AS7,INF515L01AT5,18.6534,,,2019-04-11
112104,Sahara Star Value Fund-Dividend Option,INF515L01585,INF515L01593,18.3279,,,2019-04-11
120386,Sahara Star Value Fund-Growth - Direct,INF515L01AU3,,25.4967,,,2019-04-11
112105,Sahara Star Value Fund-Growth Option,INF515L01601,,23.7031,,,2019-04-11
120383,Sahara Super 20 Fund - Dividend - Direct,INF515L01AP3,INF515L01AQ1,16.3573,,,2019-04-11
112036,Sahara Super 20 Fund - Dividend Option,INF515L01551,INF515L01569,20.8333,,,2019-04-11
120382,Sahara Super 20 Fund - Growth - Direct,INF515L01AR9,,22.7382,,,2019-04-11
112037,Sahara Super 20 Fund - Growth Option,INF515L01577,,20.8535,,,2019-04-11
120341,Sahara Wealth Plus Fund-Fixed Pricing Option-Direct-Dividend Option,INF515L01866,INF515L01874,30.7353,,,2019-04-11
120340,Sahara Wealth Plus Fund-Fixed Pricing Option-Direct-Growth,INF515L01882,,43.4328,,,2019-04-11
103119,Sahara Wealth Plus Fund-Fixed Pricing Option-Dividend Option,INF515L01262,INF515L01270,30.2004,,,2019-04-11
103120,Sahara Wealth Plus Fund-Fixed Pricing Option-Growth Option,INF515L01288,,42.4045,,,2019-04-11
120344,Sahara Wealth Plus Fund-Variable Pricing Option-Direct -Dividend,INF515L01890,INF515L01908,36.4181,,,2019-04-11
120345,Sahara Wealth Plus Fund-Variable Pricing Option-Direct-Growth,INF515L01916,,50.8217,,,2019-04-11
103121,Sahara Wealth Plus Fund-Variable Pricing Option-Dividend Option,INF515L01296,INF515L01304,35.8629,,,2019-04-11
103122,Sahara Wealth Plus Fund-Variable Pricing Option-Growth Option,INF515L01312,,49.4663,,,2019-04-11
101397,Sahara Liquid Fund-Fixed Pricing -  Weekly Dividend Option,,INF515L01064,1027.4373,,,2019-04-11
101393,Sahara Liquid Fund-Fixed Pricing - Daily Dividend Option,,INF515L01049,1279.0246,,,2019-04-11
120265,Sahara Liquid Fund-Fixed Pricing - Direct - Weekly Dividend Option,,INF515L01668,1027.4373,,,2019-04-11
120262,Sahara Liquid Fund-Fixed Pricing - Direct -Growth option,INF515L01650,,3024.2870000000003,,,2019-04-11
101394,Sahara Liquid Fund-Fixed Pricing - Growth option,INF515L01056,,3129.949,,,2019-04-11
101398,Sahara Liquid Fund-Fixed Pricing - Monthly Dividend Option,,INF515L01072,1043.3721,,,2019-04-11
120253,Sahara Liquid Fund-Fixed Pricing -Direct - Daily Dividend Option- Direct,,INF515L01643,1279.0246,,,2019-04-11
120266,Sahara Liquid Fund-Fixed Pricing -Direct - Monthly Dividend Option,,INF515L01676,1043.3721,,,2019-04-11
101399,Sahara Liquid Fund-Variable Pricing - Daily Dividend option,,INF515L01080,1291.1086,,,2019-04-11
101402,Sahara Liquid Fund-Variable Pricing - Growth option,INF515L01114,,3202.2439,,,2019-04-11
101400,Sahara Liquid Fund-Variable Pricing - Weekly Dividend Option,,INF515L01098,1303.0341,,,2019-04-11
