Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
101397,Sahara Liquid Fund-Fixed Pricing -  Weekly Dividend Option,,INF515L01064,1027.4373,,,2018-10-06
101393,Sahara Liquid Fund-Fixed Pricing - Daily Dividend Option,,INF515L01049,1242.4691,,,2018-10-06
120265,Sahara Liquid Fund-Fixed Pricing - Direct - Weekly Dividend Option,,INF515L01668,1027.4373,,,2018-10-06
120262,Sahara Liquid Fund-Fixed Pricing - Direct -Growth option,INF515L01650,,3024.2870000000003,,,2018-10-06
101394,Sahara Liquid Fund-Fixed Pricing - Growth option,INF515L01056,,3040.4756,,,2018-10-06
101398,Sahara Liquid Fund-Fixed Pricing - Monthly Dividend Option,,INF515L01072,1043.3721,,,2018-10-06
120253,Sahara Liquid Fund-Fixed Pricing -Direct - Daily Dividend Option- Direct,,INF515L01643,1242.4691,,,2018-10-06
120266,Sahara Liquid Fund-Fixed Pricing -Direct - Monthly Dividend Option,,INF515L01676,1043.3721,,,2018-10-06
101399,Sahara Liquid Fund-Variable Pricing - Daily Dividend option,,INF515L01080,1253.7778,,,2018-10-06
101402,Sahara Liquid Fund-Variable Pricing - Growth option,INF515L01114,,3109.6553,,,2018-10-06
101400,Sahara Liquid Fund-Variable Pricing - Weekly Dividend Option,,INF515L01098,1263.0,,,2018-10-06
120271,Sahara Liquid Fund-Variable Pricing -Direct - Daily Dividend option,,INF515L01684,1038.8267,,,2018-10-06
120280,Sahara Liquid Fund-Variable Pricing -Direct - Growth option,INF515L01718,,3115.8003,,,2018-10-06
120272,Sahara Liquid Fund-Variable Pricing -Direct - Weekly Dividend Option,,INF515L01692,1263.0,,,2018-10-06
120273,Sahara Liquid Fund-Variable Pricing- Direct - Monthly Dividend Option,,INF515L01700,1055.8972,,,2018-10-06
101401,Sahara Liquid Fund-Variable Pricing- Monthly Dividend Option,,INF515L01106,1276.8149,,,2018-10-06
119831,SBI OVERNIGHT FUND - DIRECT PLAN - DAILY DIVIDEND,,INF200K01TJ7,1009.91,,,2018-10-06
119833,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,INF200K01TK5,,3000.3317,,,2018-10-06
119832,SBI OVERNIGHT FUND - DIRECT PLAN - WEEKLY DIVIDEND,INF200K01TL3,INF200K01TM1,1031.1904,,,2018-10-06
101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,INF200K01LQ9,,2976.2779,,,2018-10-06
103140,SBI OVERNIGHT FUND - REGULAR PLAN - WEEKLY DIVIDEND,INF200K01LO4,INF200K01LP1,1031.1903,,,2018-10-06
114297,SBI OVERNIGHT FUND - REGULAR PLAN -DAILY DIVIDEND,,INF200K01LN6,1009.91,,,2018-10-06
100814,UTI - Overnight  Fund - Regular Plan - Growth Option,INF789F01604,,2502.8908,,,2018-10-06
124266,UTI - Overnight Fund - Direct Plan - Daily Div Option,,INF789FB1S89,1371.6621,,,2018-10-06
120785,UTI - Overnight Fund - Direct Plan - Growth Option,INF789FB1S71,,2520.0688,,,2018-10-06
120786,UTI - Overnight Fund - Direct Plan - Periodic Div Option,INF789FB1T05,INF789FB1S97,1442.101,,,2018-10-06
124265,UTI - Overnight Fund - Regular Plan - Daily Div Option,,INF789FB1T13,1370.8617,,,2018-10-06
100813,UTI - Overnight Fund - Regular Plan - Periodic Div Option,INF789F01588,INF789F01596,1409.1591,,,2018-10-06
100046,Aditya Birla Sun Life Liquid Fund - Daily Dividend,INF209K01KQ2,INF209K01SQ5,100.2154,,,2018-10-06
119569,Aditya Birla Sun Life Liquid Fund - Daily Dividend - Direct Plan,INF209K01UZ2,,100.2156,,,2018-10-06
103885,Aditya Birla Sun Life Liquid Fund - Dividend,INF209KA1LI1,,120.7563,,,2018-10-06
119571,Aditya Birla Sun Life Liquid Fund - Dividend - Direct Plan,INF209K01VD7,,157.3647,,,2018-10-06
100047,Aditya Birla Sun Life Liquid Fund - Growth,INF209K01RU9,,288.589,,,2018-10-06
119568,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,INF209K01VA3,,289.8449,,,2018-10-06
100041,Aditya Birla Sun Life Liquid Fund - Institutional Dividend,,INF209K01KN9,108.045,,,2018-10-06
100051,Aditya Birla Sun Life Liquid Fund - Weekly Dividend,INF209K01KU4,INF209KA1LJ9,100.2454,,,2018-10-06
119570,Aditya Birla Sun Life Liquid Fund - Weekly Dividend - Direct Plan,INF209K01VC9,,100.2456,,,2018-10-06
112014,Aditya Birla Sun Life Liquid Fund- Discipline Advantage Plan,INF209K01KZ3,,194.4035,,,2018-10-06
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),INF209K01RT1,,480.5889,,,2018-10-06
100048,Aditya Birla Sun Life Liquid Fund-Institutional -  Weekly Dividend,INF209KA1LK7,INF209K01KY6,108.09,,,2018-10-06
100044,Aditya Birla Sun Life Liquid Fund-Retail (Dividend),,INF209K01KP4,163.7273,,,2018-10-06
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,,468.3159,,,2018-10-06
128954,Axis Liquid Fund - Direct plan - Bonus Option,INF846K01NH4,,2000.3174,,,2018-10-06
120388,Axis Liquid Fund - Direct Plan - Daily Dividend Option,,INF846K01DA0,1000.956,,,2018-10-06
120389,Axis Liquid Fund - Direct Plan - Growth Option,INF846K01CX4,,2000.4353,,,2018-10-06
120391,Axis Liquid Fund - Direct Plan - Monthly Dividend Option,INF846K01CY2,INF846K01CZ9,1002.6505,,,2018-10-06
120390,Axis Liquid Fund - Direct Plan - Weekly Dividend Option,INF846K01DB8,INF846K01DC6,1003.1354,,,2018-10-06
112211,Axis Liquid Fund - Regular Plan - Daily Dividend Option,,INF846K01420,1001.3998,,,2018-10-06
112210,Axis Liquid Fund - Regular Plan - Growth Option,INF846K01412,,1992.8052,,,2018-10-06
112213,Axis Liquid Fund - Regular Plan - Monthly Dividend Option,INF846K01453,INF846K01461,1003.231,,,2018-10-06
112212,Axis Liquid Fund - Regular Plan - Weekly Dividend Option,INF846K01438,INF846K01446,1003.1289,,,2018-10-06
112712,Axis Liquid Fund - Retail Plan - Daily Dividend Option,,INF846K01362,1000.9559,,,2018-10-06
112713,Axis Liquid Fund - Retail Plan - Growth Option,INF846K01354,,1886.3735,,,2018-10-06
112714,Axis Liquid Fund - Retail Plan - Monthly Dividend Option,INF846K01396,INF846K01404,1002.4548,,,2018-10-06
112715,Axis Liquid Fund - Retail Plan - Weekly Dividend Option,INF846K01370,INF846K01388,1001.5793,,,2018-10-06
141887,BOI AXA Liquid Fund  Unclaimed Dividend greater than  3 years,,,1000.0,,,2018-10-06
141889,BOI AXA Liquid Fund  Unclaimed Dividend Upto 3 years,,,1068.2759,,,2018-10-06
141888,BOI AXA Liquid Fund  Unclaimed Redemption greater than  3 years,,,1000.0,,,2018-10-06
141890,BOI AXA Liquid Fund  Unclaimed Redemption Upto 3 years,,,1068.1653,,,2018-10-06
119368,BOI AXA Liquid Fund- Direct Plan- Daily Dividend,,INF761K01CL0,1002.6483,,,2018-10-06
119369,BOI AXA Liquid Fund- Direct Plan- Growth,INF761K01785,,2079.312,,,2018-10-06
119370,BOI AXA Liquid Fund- Direct Plan- Weekly Dividend,,INF761K01CM8,1062.6782,,,2018-10-06
111971,BOI AXA Liquid Fund- Regular Plan- Daily Dividend,,INF761K01CO4,1002.1069,,,2018-10-06
109254,BOI AXA Liquid Fund- Regular Plan- Growth,INF761K01306,,2067.5539,,,2018-10-06
109255,BOI AXA Liquid Fund- Regular Plan- Weekly Dividend,,INF761K01CP1,1002.3619,,,2018-10-06
118305,Canara Robeco Liquid Fund - Direct Plan-Growth,INF760K01FU6,,2181.032,,,2018-10-06
139235,Canara Robeco Liquid Fund -Unclaimed Redemption and Dividend Plan -Direct Growth Option,INF760K01IC8,,1185.3198,,,2018-10-06
118308,Canara Robeco Liquid Fund- Direct Plan-Weekly dividend,INF760K01FY8,INF760K01FX0,1000.6138,,,2018-10-06
118307,Canara Robeco Liquid Fund-Direct Plan-Daily Dividend Reinvestment,,INF760K01FS0,1005.5,,,2018-10-06
118304,Canara Robeco Liquid Fund-Direct Plan-Dividend Payout,INF760K01FT8,,1561.4823,,,2018-10-06
118306,Canara Robeco Liquid Fund-Direct Plan-Monthly Dividend,INF760K01FV4,INF760K01FW2,1002.0619,,,2018-10-06
109349,Canara Robeco Liquid Fund-Regular Plan-Daily Div Reinvest.,,INF760K01CU3,1005.5,,,2018-10-06
