Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
106271,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-5 YRS-DIVIDEND,,,13.0403,13.0403,13.0403,2012-07-26
106272,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-5 YRS-GROWTH,,,13.0403,13.0403,13.0403,2012-07-26
100970,Aditya Birla Sun Life MIP - Regular Plan - Growth,INF209K01694,,28.6393,28.3529,28.6393,2012-07-26
100971,Aditya Birla Sun Life MIP - Regular Plan - Monthly Dividend,INF209K01702,,11.3233,11.2101,11.3233,2012-07-26
100972,Aditya Birla Sun Life MIP - Regular Plan - Monthly Payment,INF209K01710,,28.6393,28.3529,28.6393,2012-07-26
101713,Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan,INF209K01728,,19.6415,19.4451,19.6415,2012-07-26
101711,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan,INF209K01736,INF209K01DE3,11.6189,11.5027,11.6189,2012-07-26
101712,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment,INF209K01744,,19.6415,19.4451,19.6415,2012-07-26
103184,Aditya Birla Sun Life Monthly Income - Dividend - Regular Plan,INF209K01AX9,INF209K01DX3,11.2792,11.1664,11.2792,2012-07-26
103185,Aditya Birla Sun Life Monthly Income - Growth - Regular Plan,INF209K01AZ4,,39.5034,39.1084,39.5034,2012-07-26
103186,Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan,INF209K01AY7,INF209K01DY1,11.7839,11.6661,11.7839,2012-07-26
112314,Baroda Pioneer PSU Bond Fund - Plan A - Growth Option,INF955L01245,,11.9255,11.8659,11.9255,2012-07-26
112345,Baroda Pioneer PSU Bond Fund - Plan A - Monthly Dividend Option,INF955L01252,INF955L01260,10.1756,10.1247,10.1756,2012-07-26
112346,Baroda Pioneer PSU Bond Fund - Plan A - Quarterly Dividend Option,INF955L01278,INF955L01286,10.1600,10.1092,10.1600,2012-07-26
117412,BNP Paribas Income and Gold Fund - Dividend Option - Dividend Payout,INF251K01FV4,,10.0834,10.0834,10.0834,2012-07-26
117413,BNP Paribas Income and Gold Fund - Dividend Option - Dividend Reinvestment,INF251K01FW2,,10.0834,10.0834,10.0834,2012-07-26
117411,BNP Paribas Income and Gold Fund - Growth,INF251K01FU6,,10.0834,10.0834,10.0834,2012-07-26
113101,Canara Robeco InDiGo Fund - Regular Plan - Growth,INF760K01AJ0,,12.6242,12.6242,12.6242,2012-07-26
113100,Canara Robeco InDiGo Fund - Regular Plan - Quarterly Dividend,INF760K01AK8,INF760K01AL6,11.6864,11.6864,11.6864,2012-07-26
110147,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Regular Plan - Dividend Option,INF760K01BG4,,10.0835,10.0835,10.0835,2012-07-26
110146,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Regular Plan - Growth Option,INF760K01BH2,,12.5754,12.5754,12.5754,2012-07-26
110148,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Retail Plan - Dividend Option,INF760K01BI0,,10.0814,10.0814,10.0814,2012-07-26
110145,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Retail Plan - Growth Option,INF760K01BJ8,,13.1421,13.1421,13.1421,2012-07-26
111879,Canara Robeco Short Term Fund- Institutional Plan - Growth,INF760K01688,,12.8901,12.8901,12.8901,2012-07-26
111880,Canara Robeco Short Term Fund- Institutional Plan - Monthly Dividend,INF760K01662,INF760K01670,10.1950,10.1950,10.1950,2012-07-26
112080,Canara Robeco Short Term Fund- Institutional Plan - Weekly Dividend,,INF760K01696,10.0319,10.0319,10.0319,2012-07-26
111883,Canara Robeco Short Term Fund- Regular Plan - Growth,INF760K01720,,12.6693,12.6693,12.6693,2012-07-26
