Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
114516,Daiwa Liquid Fund - Institutional - Daily Dividend,-,INF752K01198,1000.5197,1000.5197,1000.5197,2011-08-07
114515,Daiwa Liquid Fund - Institutional - Growth,INF752K01206,-,1131.0464,1131.0464,1131.0464,2011-08-07
114517,Daiwa Liquid Fund - Institutional - Weekly Dividend,-,INF752K01214,1001.4446,1001.4446,1001.4446,2011-08-07
114519,Daiwa Liquid Fund - Regular - Daily Dividend,,INF752K01222,1000.5200,1000.5200,1000.5200,2011-08-07
114514,Daiwa Liquid Fund - Regular - Growth,INF752K01230,,1129.7171,1129.7171,1129.7171,2011-08-07
114518,Daiwa Liquid Fund - Regular - Weekly Dividend,,INF752K01248,1001.9283,1001.9283,1001.9283,2011-08-07
105672,DWS INSTA CASH PLUS FUND - Regular Plan BONUS OPTION,INF223J01BH3,,10.3308,10.3308,10.3308,2011-08-07
106471,DWS Insta Cash Plus Fund -Growth,INF223J01BP6,,131.2795,131.2795,131.2795,2011-08-07
106467,DWS Insta Cash Plus Fund-Daily Dividend,,INF223J01BO9,100.3040,100.3040,100.3040,2011-08-07
101718,DWS Insta Cash Plus Fund-DIVIDEND-Daily Dividend,,INF223J01BI1,10.3010,10.3010,10.3010,2011-08-07
101717,DWS Insta Cash Plus Fund-DIVIDEND-MONTHLY DIVIDEND,INF223J01BK7,INF223J01BL5,11.2914,11.2914,11.2914,2011-08-07
101716,DWS Insta Cash Plus Fund-DIVIDEND-WEEKLY DIVIDEND,INF223J01BM3,INF223J01BN1,10.3567,10.3567,10.3567,2011-08-07
101719,DWS Insta Cash Plus Fund-Growth-GROWTH,INF223J01BJ9,,16.8451,16.8451,16.8451,2011-08-07
101722,DWS Insta Cash Plus Fund-Institutional Plan-Daily Dividend,,INF223J01BA8,10.0516,10.0516,10.0516,2011-08-07
101720,DWS Insta Cash Plus Fund-Institutional Plan-Dividend,INF223J01BE0,INF223J01BD2,10.3818,10.3818,10.3818,2011-08-07
101721,DWS Insta Cash Plus Fund-Institutional Plan-Growth,INF223J01BB6,,15.8787,15.8787,15.8787,2011-08-07
101723,DWS Insta Cash Plus Fund-Institutional Plan-Weekly Dividend,INF223J01BF7,INF223J01BG5,10.0803,10.0803,10.0803,2011-08-07
114966,DWS Treasury Fund - Cash Plan - Bonus,INF223J01SA2,,10.3155,10.3155,10.3155,2011-08-07
112228,DWS Treasury Fund - Cash Plan - Daily Dividend,,INF223J01SB0,10.0391,10.0391,10.0391,2011-08-07
112221,DWS Treasury Fund - Cash Plan - Growth,INF223J01SC8,,11.1419,11.1419,11.1419,2011-08-07
