Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
101958,DBS Chola Liquid Fund - Institutional Plus Weekly Dividend,,,12.3804,12.3804,12.3804,2010-01-26
103137,DBS Chola Short Term Floating Rate Fund-Cumulative,,,13.2752,13.2752,13.2752,2010-01-26
103134,DBS Chola Short Term Floating Rate Fund-Dividend-Daily,,,10.3650,10.3650,10.3650,2010-01-26
103136,DBS Chola Short Term Floating Rate Fund-Dividend-Monthly,,,10.4301,10.4301,10.4301,2010-01-26
103135,DBS Chola Short Term Floating Rate Fund-Dividend-Weekly,,,10.8272,10.8272,10.8272,2010-01-26
101294,Birla Sun Life Cash Plus Sweep Plan-Dividend Option,,,10.1157,10.1157,10.1157,2010-01-26
100989,DBS Chola Liquid Fund-Cum -Institutional Plus,,,18.4569,18.4569,18.4569,2010-01-26
104329,DBS Chola Liquid Fund-Cum -Super Institutional,,,12.5662,12.5662,12.5662,2010-01-26
100978,DBS Chola Liquid Fund-Daily Dividend Reinvestment Plan,,,10.1163,10.1163,10.1163,2010-01-26
100975,DBS Chola Liquid Fund-Regular Cumulative,,,18.2470,18.2470,18.2470,2010-01-26
101307,DBS Chola Liquid Fund - Regular Weekly Dividend,,,11.9948,11.9948,11.9948,2010-01-26
105672,DWS INSTA CASH PLUS FUND - Regular Plan BONUS OPTION,INF223J01BH3,,11.3708,11.3708,11.3708,2010-01-26
106471,DWS Insta Cash Plus Fund -Growth,INF223J01BP6,,11.8562,11.8562,11.8562,2010-01-26
106467,DWS Insta Cash Plus Fund-Daily Dividend,,INF223J01BO9,10.0304,10.0304,10.0304,2010-01-26
101718,DWS Insta Cash Plus Fund-DIVIDEND-Daily Dividend,,INF223J01BI1,10.3010,10.3010,10.3010,2010-01-26
101717,DWS Insta Cash Plus Fund-DIVIDEND-MONTHLY DIVIDEND,INF223J01BK7,INF223J01BL5,11.0388,11.0388,11.0388,2010-01-26
101716,DWS Insta Cash Plus Fund-DIVIDEND-WEEKLY DIVIDEND,INF223J01BM3,INF223J01BN1,10.3564,10.3564,10.3564,2010-01-26
101719,DWS Insta Cash Plus Fund-Growth-GROWTH,INF223J01BJ9,,15.3096,15.3096,15.3096,2010-01-26
101722,DWS Insta Cash Plus Fund-Institutional Plan-Daily Dividend,,INF223J01BA8,10.0516,10.0516,10.0516,2010-01-26
101721,DWS Insta Cash Plus Fund-Institutional Plan-Growth,INF223J01BB6,,14.3829,14.3829,14.3829,2010-01-26
