Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
106271,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-5 YRS-DIVIDEND,,,12.8846,12.8846,12.8846,2012-05-08
106272,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-5 YRS-GROWTH,,,12.8846,12.8846,12.8846,2012-05-08
100970,Aditya Birla Sun Life MIP - Regular Plan - Growth,INF209K01694,,28.0844,27.8036,28.0844,2012-05-08
100971,Aditya Birla Sun Life MIP - Regular Plan - Monthly Dividend,INF209K01702,,11.2227,11.1105,11.2227,2012-05-08
100972,Aditya Birla Sun Life MIP - Regular Plan - Monthly Payment,INF209K01710,,28.0844,27.8036,28.0844,2012-05-08
101713,Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan,INF209K01728,,19.2503,19.0578,19.2503,2012-05-08
101711,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan,INF209K01736,INF209K01DE3,11.5093,11.3942,11.5093,2012-05-08
101712,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment,INF209K01744,,19.2503,19.0578,19.2503,2012-05-08
103184,Aditya Birla Sun Life Monthly Income - Dividend - Regular Plan,INF209K01AX9,INF209K01DX3,11.2238,11.1116,11.2238,2012-05-08
103185,Aditya Birla Sun Life Monthly Income - Growth - Regular Plan,INF209K01AZ4,,38.9111,38.5220,38.9111,2012-05-08
103186,Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan,INF209K01AY7,INF209K01DY1,11.7886,11.6707,11.7886,2012-05-08
112314,Baroda Pioneer PSU Bond Fund - Plan A - Growth Option,INF955L01245,,11.6217,11.5636,11.6217,2012-05-08
112345,Baroda Pioneer PSU Bond Fund - Plan A - Monthly Dividend Option,INF955L01252,INF955L01260,10.1555,10.1047,10.1555,2012-05-08
112346,Baroda Pioneer PSU Bond Fund - Plan A - Quarterly Dividend Option,INF955L01278,INF955L01286,10.1966,10.1456,10.1966,2012-05-08
113101,Canara Robeco InDiGo Fund - Regular Plan - Growth,INF760K01AJ0,,12.3581,12.3581,12.3581,2012-05-08
113100,Canara Robeco InDiGo Fund - Regular Plan - Quarterly Dividend,INF760K01AK8,INF760K01AL6,11.6376,11.6376,11.6376,2012-05-08
110147,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Regular Plan - Dividend Option,INF760K01BG4,,10.1539,10.1539,10.1539,2012-05-08
110146,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Regular Plan - Growth Option,INF760K01BH2,,12.3199,12.3199,12.3199,2012-05-08
110148,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Retail Plan - Dividend Option,INF760K01BI0,,10.1539,10.1539,10.1539,2012-05-08
110145,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Retail Plan - Growth Option,INF760K01BJ8,,12.8746,12.8746,12.8746,2012-05-08
111879,Canara Robeco Short Term Fund- Institutional Plan - Growth,INF760K01688,,12.6167,12.6167,12.6167,2012-05-08
111880,Canara Robeco Short Term Fund- Institutional Plan - Monthly Dividend,INF760K01662,INF760K01670,10.1453,10.1453,10.1453,2012-05-08
112080,Canara Robeco Short Term Fund- Institutional Plan - Weekly Dividend,,INF760K01696,10.0437,10.0437,10.0437,2012-05-08
111883,Canara Robeco Short Term Fund- Regular Plan - Growth,INF760K01720,,12.4177,12.4177,12.4177,2012-05-08
111882,Canara Robeco Short Term Fund- Regular Plan - Monthly Dividend,INF760K01704,INF760K01712,10.1434,10.1434,10.1434,2012-05-08
112081,Canara Robeco Short Term Fund- Regular Plan - Weekly Dividend,,INF760K01738,10.1327,10.1327,10.1327,2012-05-08
114530,Daiwa Treasury Advantage Fund - Daily Dividend,-,INF752K01057,1000.1084,1000.1084,1000.1084,2012-05-08
114529,Daiwa Treasury Advantage Fund - Growth,INF752K01040,-,1200.3546,1200.3546,1200.3546,2012-05-08
114532,Daiwa Treasury Advantage Fund - Monthly Dividend,INF752K01081,INF752K01073,1003.6487,1003.6487,1003.6487,2012-05-08
114531,Daiwa Treasury Advantage Fund - Weekly Dividend,-,INF752K01065,1000.3732,1000.3732,1000.3732,2012-05-08
116386,DWS CASH OPPORTUNITIES FUND - ANNUAL DIV,INF223J01IZ0,INF223J01JA1,10.2038,10.1528,10.2038,2012-05-08
114975,DWS CASH OPPORTUNITIES FUND - Bonus Option,INF223J01AC6,,11.1407,11.0850,11.1407,2012-05-08
108195,DWS CASH OPPORTUNITIES FUND - DAILY DIV,,INF223J01AD4,10.0271,9.9770,10.0271,2012-05-08
106036,DWS CASH OPPORTUNITIES FUND - FORTNIGHTLY DIV,INF223J01AE2,INF223J01AF9,10.1495,10.0988,10.1495,2012-05-08
105973,DWS CASH OPPORTUNITIES FUND - GR,INF223J01AG7,,14.4193,14.3472,14.4193,2012-05-08
105974,DWS CASH OPPORTUNITIES FUND - MONTHLY DIV,INF223J01AH5,INF223J01AI3,10.4162,10.3641,10.4162,2012-05-08
116385,DWS CASH OPPORTUNITIES FUND - QUARTERLY DIV,INF223J01IV9,INF223J01IW7,10.2194,10.1683,10.2194,2012-05-08
106035,DWS CASH OPPORTUNITIES FUND - WEEKLY DIV,INF223J01AJ1,INF223J01AK9,10.1103,10.0597,10.1103,2012-05-08
107382,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL - MONTHLY DIV,INF223J01986,INF223J01994,10.5653,10.5125,10.5653,2012-05-08
107380,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL -GR,INF223J01978,,13.9630,13.8932,13.9630,2012-05-08
108243,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL -Weekly,INF223J01AA0,INF223J01AB8,10.0844,10.0340,10.0844,2012-05-08
108244,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL-Daily,,INF223J01945,10.0243,9.9742,10.0243,2012-05-08
106882,DWS Income Advantage Fund - Dividend,INF223J01CA6,INF223J01CB4,10.4845,10.3797,10.4845,2012-05-08
106881,DWS Income Advantage Fund - Growth,INF223J01BZ5,,13.9094,13.7703,13.9094,2012-05-08
104426,DWS Low Duration Fund - Daily Dividend,,INF223J01CC2,10.0790,9.9782,10.0790,2012-05-08
104425,DWS Low Duration Fund - Growth,,INF223J01CE8,11.3768,11.2630,11.3768,2012-05-08
104428,DWS Low Duration Fund - Monthly Dividend,INF223J01CF5,INF223J01CG3,10.7326,10.6253,10.7326,2012-05-08
116378,DWS Low Duration Fund - Regular Plan - Annual Dividend,INF223J01JR5,INF223J01JS3,10.1104,10.0093,10.1104,2012-05-08
110073,DWS Low Duration Fund - Regular Plan - Bonus,INF223J01CJ7,,12.2133,12.0912,12.2133,2012-05-08
104234,DWS Low Duration Fund - Regular Plan - Daily Dividend,,INF223J01CK5,10.0645,9.9639,10.0645,2012-05-08
103591,DWS Low Duration Fund - Regular Plan - Growth,INF223J01CL3,,14.9294,14.7801,14.9294,2012-05-08
103590,DWS Low Duration Fund - Regular Plan - Monthly Dividend,INF223J01CM1,INF223J01CN9,10.2064,10.1043,10.2064,2012-05-08
116377,DWS Low Duration Fund - Regular Plan - Quarterly Dividend,INF223J01JP9,INF223J01JQ7,10.2629,10.1603,10.2629,2012-05-08
103592,DWS Low Duration Fund - Regular Plan - Weekly Dividend,INF223J01CO7,INF223J01CP4,10.1624,10.0608,10.1624,2012-05-08
101731,DWS Premier Bond Fund - Annual Dividend,INF223J01CY6,INF223J01CZ3,10.1333,10.0320,10.1333,2012-05-08
114973,DWS Premier Bond Fund - Bonus,INF223J01DA4,,10.8662,10.7575,10.8662,2012-05-08
101732,DWS Premier Bond Fund - Growth,INF223J01DB2,,17.9857,17.8058,17.9857,2012-05-08
111554,DWS Premier Bond Fund - Institutional Plan - Growth,INF223J01CT6,,10.0911,9.9902,10.0911,2012-05-08
101730,DWS Premier Bond Fund - Monthly Dividend,INF223J01DC0,INF223J01DD8,12.7121,12.5850,12.7121,2012-05-08
111723,DWS Premier Bond Fund - Premium Plus Plan - Growth,INF223J01CQ2,,10.1792,10.0774,10.1792,2012-05-08
116911,DWS Premier Bond Fund - Premium Plus Plan - Monthly Dividend,,,10.0186,10.0186,10.0186,2012-05-08
116914,DWS Premier Bond Fund - Premium Plus Plan - Quarterly Dividend,,,10.1634,10.0618,10.1634,2012-05-08
101729,DWS Premier Bond Fund - Quarterly Dividend,INF223J01DE6,INF223J01DF3,11.7334,11.6161,11.7334,2012-05-08
116360,DWS Short Maturity Fund - Annual Dividend,INF223J01KD3,INF223J01KE1,10.3488,10.2712,10.3488,2012-05-08
114968,DWS Short Maturity Fund - Bonus,INF223J01DW8,,11.1096,11.0263,11.1096,2012-05-08
101627,DWS Short Maturity Fund - Growth,INF223J01DT4,,19.3037,19.1589,19.3037,2012-05-08
111556,DWS Short Maturity Fund - Institutional Plan - Growth,INF223J01DG1,,12.9509,12.8538,12.9509,2012-05-08
111557,DWS Short Maturity Fund - Institutional Plan - Monthly Dividend,INF223J01DH9,INF223J01DI7,10.1061,10.0303,10.1061,2012-05-08
111558,DWS Short Maturity Fund - Institutional Plan - Weekly Dividend,INF223J01DJ5,INF223J01DK3,10.4108,10.3327,10.4108,2012-05-08
101625,DWS Short Maturity Fund - Monthly Dividend,INF223J01DU2,INF223J01DV0,11.7274,11.6394,11.7274,2012-05-08
114749,DWS Short Maturity Fund - Premium Plus - Growth,INF223J01DN7,,11.2129,11.1288,11.2129,2012-05-08
111872,DWS Short Maturity Fund - Premium Plus - Quarterly Dividend,INF223J01DQ0,INF223J01DR8,10.3525,10.2749,10.3525,2012-05-08
111871,DWS Short Maturity Fund - Premium Plus Plan - Monthly Dividend,INF223J01DO5,INF223J01DP2,10.2854,10.2083,10.2854,2012-05-08
114759,DWS Short Maturity Fund - Premium Plus Plan - Weekly Dividend,,INF223J01DS6,10.3693,10.2915,10.3693,2012-05-08
116347,DWS Short Maturity Fund - Quarterly Dividend,INF223J01KB7,INF223J01KC5,10.2041,10.1276,10.2041,2012-05-08
101626,DWS Short Maturity Fund - Weekly Dividend,INF223J01DX6,INF223J01DY4,10.2356,10.1588,10.2356,2012-05-08
109301,DWS Ultra Short Term Fund - Daily Dividend,,INF223J01FH4,10.0179,10.0179,10.0179,2012-05-08
109302,DWS Ultra Short Term Fund - Growth,INF223J01FK8,,12.8308,12.8308,12.8308,2012-05-08
115485,DWS Ultra Short Term Fund - Premium Plus Plan - Annual Dividend,INF223J01JN4,INF223J01JO2,10.1649,10.1649,10.1649,2012-05-08
111870,DWS Ultra Short Term Fund - Premium Plus Plan - Daily Dividend,,INF223J01FS1,10.1351,10.1351,10.1351,2012-05-08
116375,DWS Ultra Short Term Fund - Premium Plus Plan - Quarterly Dividend,INF223J01JL8,INF223J01JM6,10.1650,10.1650,10.1650,2012-05-08
116372,DWS Ultra Short Term Fund - Regular Plan - Annual Dividend,INF223J01JF0,INF223J01JG8,10.3834,10.3834,10.3834,2012-05-08
110072,DWS Ultra Short Term Fund - Regular Plan - Bonus,INF223J01GA7,,10.5418,10.5418,10.5418,2012-05-08
107821,DWS Ultra Short Term Fund - Regular Plan - Daily Dividend,,INF223J01FW3,10.0215,10.0215,10.0215,2012-05-08
107820,DWS Ultra Short Term Fund - Regular Plan - Growth,INF223J01FX1,,17.5553,17.5553,17.5553,2012-05-08
107823,DWS Ultra Short Term Fund - Regular Plan - Monthly Dividend,INF223J01FY9,INF223J01FZ6,10.4641,10.4641,10.4641,2012-05-08
116371,DWS Ultra Short Term Fund - Regular Plan - Quarterly Dividend,INF223J01JD5,INF223J01JE3,10.3834,10.3834,10.3834,2012-05-08
107822,DWS Ultra Short Term Fund - Regular Plan - Weekly Dividend,INF223J01GB5,INF223J01GC3,10.5110,10.5110,10.5110,2012-05-08
109300,DWS Ultra Short Term Fund - Weekly Dividend,INF223J01FO0,INF223J01FP7,10.0874,10.0874,10.0874,2012-05-08
103275,DSP BlackRock Income Opportunities Fund - Institutional Plan-Daily Dividend Reinvest,,,1001.7006,991.6836,1001.7006,2012-05-08
103274,DSP BlackRock Income Opportunities Fund - Institutional Plan-Dividend,INF740K01FP8,INF740K01FO1,1035.0446,1024.6942,1035.0446,2012-05-08
103277,DSP BlackRock Income Opportunities Fund - Institutional Plan-Growth,INF740K01FN3,,1551.7461,1536.2286,1551.7461,2012-05-08
103276,DSP BlackRock Income Opportunities Fund - Institutional Plan-Weekly Dividend Reinvest,,,1002.2090,992.1869,1002.2090,2012-05-08
