Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
139619,Taurus Investor Education Pool - Unclaimed Dividend - Growth,,,10.0,,,2023-02-10
139618,Taurus Investor Education Pool - Unclaimed Redemption - Growth,,,10.0,,,2023-02-10
139616,Taurus Unclaimed Dividend - Growth,,,14.8618,,,2023-02-10
139617,Taurus Unclaimed Redemption - Growth,,,14.863,,,2023-02-10
148921,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth,INF209KB1Y49,,12.63,,,2023-02-10
148920,Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout,INF209KB1Y56,,12.63,,,2023-02-10
148918,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,INF209KB1Y23,,12.25,,,2023-02-10
148919,Aditya Birla Sun Life Multi-Cap Fund-Regular-IDCW Payout,INF209KB1Y31,,12.26,,,2023-02-10
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.07,,,2023-02-10
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.07,,,2023-02-10
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.89,,,2023-02-10
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,9.89,,,2023-02-10
149303,BANDHAN MULTI CAP FUND - GROWTH - DIRECT PLAN,INF194KB1CL0,,10.998,,,2023-02-10
149305,BANDHAN MULTI CAP FUND - GROWTH - REGULAR PLAN,INF194KB1CI6,,10.773,,,2023-02-10
149304,BANDHAN MULTI CAP FUND - IDCW - DIRECT PLAN,INF194KB1CM8,INF194KB1CN6,10.994,,,2023-02-10
149302,BANDHAN MULTI CAP FUND - IDCW - REGULAR PLAN,INF194KB1CJ4,INF194KB1CK2,10.773,,,2023-02-10
119354,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option,INF955L01AG0,,189.5989,,,2023-02-10
119353,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - IDCW Option,INF955L01AE5,,42.4528,,,2023-02-10
102020,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option,INF955L01674,,173.2058,,,2023-02-10
102021,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - IDCW Option,INF955L01658,INF955L01666,41.0132,,,2023-02-10
149366,HDFC Multi Cap Fund - Growth Option,INF179KC1BV9,,11.028,,,2023-02-10
149368,HDFC Multi Cap Fund - Growth Option - Direct Plan,INF179KC1BS5,,11.228,,,2023-02-10
149365,HDFC Multi Cap Fund - IDCW Option,INF179KC1BW7,INF179KC1BX5,11.028,,,2023-02-10
149367,HDFC Multi Cap Fund - IDCW Option - Direct Plan,INF179KC1BT3,INF179KC1BU1,11.228,,,2023-02-10
151290,HSBC Multi Cap Fund - Direct - Growth,INF336L01QN5,,10.0436,,,2023-02-10
151291,HSBC Multi Cap Fund - Direct - IDCW,INF336L01QO3,INF336L01QP0,10.0436,,,2023-02-10
151289,HSBC Multi Cap Fund - Regular - Growth,INF336L01QQ8,,10.039,,,2023-02-10
151292,HSBC Multi Cap Fund - Regular - IDCW,INF336L01QR6,INF336L01QS4,10.039,,,2023-02-10
120381,ICICI Prudential MidCap Fund - Direct Plan -  Growth,INF109K011N7,,181.45,,,2023-02-10
120380,ICICI Prudential MidCap Fund - Direct Plan -  IDCW,INF109K019M2,INF109K010N9,39.85,,,2023-02-10
102528,ICICI Prudential MidCap Fund - Growth,INF109K01AN2,,165.26,,,2023-02-10
102529,ICICI Prudential MidCap Fund - IDCW,INF109K01EH6,INF109K01AL6,27.74,,,2023-02-10
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,,509.75,,,2023-02-10
120598,ICICI Prudential Multicap Fund - Direct Plan -  IDCW,INF109K012O3,INF109K013O1,39.48,,,2023-02-10
101228,ICICI Prudential Multicap Fund - Growth,INF109K01613,,465.92,,,2023-02-10
101706,ICICI Prudential Multicap Fund - IDCW,INF109K01FK7,INF109K01621,24.24,,,2023-02-10
120413,Invesco India Multicap Fund - Direct Plan - Growth Option,INF205K01MS2,,90.31,,,2023-02-10
120412,Invesco India Multicap Fund - Direct Plan - IDCW (Payout / Reinvestment),INF205K01MQ6,INF205K01MR4,81.75,,,2023-02-10
107353,Invesco India Multicap Fund - Growth Option,INF205K01DN2,,78.26,,,2023-02-10
107352,Invesco India Multicap Fund - IDCW (Payout / Reinvestment),INF205K01DO0,INF205K01DP7,70.96,,,2023-02-10
147183,ITI Multi Cap Fund - Direct Plan - Growth Option,INF00XX01168,,14.9886,,,2023-02-10
147186,ITI Multi Cap Fund - Direct Plan - IDCW Option,INF00XX01176,INF00XX01184,14.34,,,2023-02-10
147184,ITI Multi Cap Fund - Regular Plan - Growth Option,INF00XX01135,,13.8325,,,2023-02-10
147185,ITI Multi Cap Fund - Regular Plan - IDCW Option,INF00XX01143,INF00XX01150,13.2131,,,2023-02-10
149183,Kotak Multicap Fund- Regular Plan -IDCW Option,INF174KA1HT7,INF174KA1HU5,10.507,,,2023-02-10
149185,Kotak Multicap Fund-Direct Plan-Growth,INF174KA1HV3,,10.758,,,2023-02-10
149187,Kotak Multicap Fund-Direct Plan-IDCW Option,INF174KA1HW1,INF174KA1HX9,10.758,,,2023-02-10
149182,Kotak Multicap Fund-Regular Plan-Growth,INF174KA1HS9,,10.507,,,2023-02-10
150659,LIC MF Multi Cap Fund-Direct Growth,INF767K01RK7,,9.9211,,,2023-02-10
150660,LIC MF Multi Cap Fund-Direct IDCW,INF767K01RL5,INF767K01RM3,9.9211,,,2023-02-10
150661,LIC MF Multi Cap Fund-Regular Growth,INF767K01RH3,,9.8665,,,2023-02-10
150662,LIC MF Multi Cap Fund-Regular IDCW,INF767K01RI1,INF767K01RJ9,9.8665,,,2023-02-10
141223,Mahindra Manulife Multi Cap Fund - Direct Plan - IDCW,INF174V01366,INF174V01358,19.4664,,,2023-02-10
141226,Mahindra Manulife Multi Cap Fund - Direct Plan -Growth,INF174V01341,,22.7173,,,2023-02-10
141224,Mahindra Manulife Multi Cap Fund - Regular Plan - Growth,INF174V01317,,20.3009,,,2023-02-10
141225,Mahindra Manulife Multi Cap Fund - Regular Plan - IDCW,INF174V01333,INF174V01325,17.128,,,2023-02-10
118652,NIPPON INDIA MULTI CAP FUND - DIRECT Plan - IDCW Option,INF204K01XD4,INF204K01XE2,61.3123,,,2023-02-10
118651,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Bonus Option,INF204K01D55,,178.8641,,,2023-02-10
118650,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01XF9,,178.8641,,,2023-02-10
101163,NIPPON INDIA MULTI CAP FUND - IDCW Option,INF204K01455,INF204K01463,45.5913,,,2023-02-10
101162,Nippon India Multi Cap Fund-Growth Plan-Bonus Option,INF204K01471,,166.1211,,,2023-02-10
101161,Nippon India Multi Cap Fund-Growth Plan-Growth Option,INF204K01489,,166.1211,,,2023-02-10
100631,quant Active Fund-GROWTH OPTION - Regular Plan,INF966L01234,,424.0102,,,2023-02-10
120823,quant Active Fund-GROWTH OPTION-Direct Plan,INF966L01614,,449.7715,,,2023-02-10
120822,quant Active Fund-IDCW Option - Direct Plan,INF966L01598,INF966L01606,52.0893,,,2023-02-10
100630,quant Active Fund-IDCW Option - Regular Plan,INF966L01218,INF966L01226,48.4926,,,2023-02-10
149887,SBI Multicap Fund- Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200KA19E0,INF200KA10F6,10.5503,,,2023-02-10
149882,SBI Multicap Fund- Direct Plan- Growth option,INF200KA18E2,,10.5507,,,2023-02-10
149886,SBI Multicap Fund- Regular Plan- Growth Option,INF200KA15E8,,10.4393,,,2023-02-10
149883,SBI Multicap Fund- Regular Plan- Income Distribution cum Capital Withdrawal Option (IDCW),INF200KA16E6,INF200KA17E4,10.4404,,,2023-02-10
149668,Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund) - Direct Plan -Half Yearly Income Distribution CUM Capital Withdrawal Option,INF173K01FN7,INF173K01FO5,65.4834,,,2023-02-10
149666,Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)- Half Yearly Income Distribution CUM Capital Withdrawal Option,INF173K01957,INF173K01965,49.875,,,2023-02-10
149669,Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)-Direct Plan - Growth Option,INF173K01FQ0,,255.6574,,,2023-02-10
149667,Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)-Growth Option,INF173K01940,,235.8525,,,2023-02-10
151232,Tata Multicap Fund - Direct Plan - Growth,INF277KA1679,,10.1981,,,2023-02-10
151234,Tata Multicap Fund - Direct Plan - IDCW Payout,INF277KA1695,,10.1981,,,2023-02-10
151233,Tata Multicap Fund - Direct Plan - IDCW Reinvestment,,INF277KA1687,10.1981,,,2023-02-10
151235,Tata Multicap Fund - Regular Plan - Growth,INF277KA1703,,10.0708,,,2023-02-10
151237,Tata Multicap Fund - Regular Plan - IDCW Payout,INF277KA1729,,10.0708,,,2023-02-10
151236,Tata Multicap Fund - Regular Plan - IDCW Reinvestment,,INF277KA1711,10.0708,,,2023-02-10
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,,9.72,,,2023-02-10
150857,Union Multicap Fund - Direct Plan - IDCW Option,INF582M01IP4,INF582M01IQ2,9.72,,,2023-02-10
150855,Union Multicap Fund - Regular Plan - Growth Option,INF582M01IS8,,9.7,,,2023-02-10
150856,Union Multicap Fund - Regular Plan - IDCW Option,INF582M01IT6,INF582M01IU4,9.7,,,2023-02-10
119528,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,INF209K01YY7,,378.61,,,2023-02-10
119527,Aditya Birla Sun Life Frontline Equity Fund-DIRECT - IDCW,INF209K01YX9,INF209K01YW1,75.09,,,2023-02-10
103174,Aditya Birla Sun Life Frontline Equity Fund-Growth,INF209K01BR9,,348.19,,,2023-02-10
103173,Aditya Birla Sun Life Frontline Equity Fund-Regular - IDCW,INF209K01BO6,INF209K01EC5,31.96,,,2023-02-10
120465,Axis Bluechip Fund - Direct Plan - Growth,INF846K01DP8,,48.37,,,2023-02-10
120466,Axis Bluechip Fund - Direct Plan - IDCW,INF846K01DN3,INF846K01DO1,21.48,,,2023-02-10
112277,Axis Bluechip Fund - Regular Plan - Growth,INF846K01164,,42.98,,,2023-02-10
112278,Axis Bluechip Fund - Regular Plan - IDCW,INF846K01172,INF846K01180,17.32,,,2023-02-10
