Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
100970,Aditya Birla Sun Life MIP - Regular Plan - Growth,INF209K01694,,29.0068,28.7167,29.0068,2012-08-22
100971,Aditya Birla Sun Life MIP - Regular Plan - Monthly Dividend,INF209K01702,,11.3990,11.2850,11.3990,2012-08-22
100972,Aditya Birla Sun Life MIP - Regular Plan - Monthly Payment,INF209K01710,,29.0068,28.7167,29.0068,2012-08-22
101713,Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan,INF209K01728,,19.8421,19.6437,19.8421,2012-08-22
101711,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan,INF209K01736,INF209K01DE3,11.6665,11.5498,11.6665,2012-08-22
101712,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment,INF209K01744,,19.8421,19.6437,19.8421,2012-08-22
103184,Aditya Birla Sun Life Monthly Income - Dividend - Regular Plan,INF209K01AX9,INF209K01DX3,11.3314,11.2181,11.3314,2012-08-22
103185,Aditya Birla Sun Life Monthly Income - Growth - Regular Plan,INF209K01AZ4,,39.9632,39.5636,39.9632,2012-08-22
103186,Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan,INF209K01AY7,INF209K01DY1,11.9211,11.8019,11.9211,2012-08-22
112314,Baroda Pioneer PSU Bond Fund - Plan A - Growth Option,INF955L01245,,11.9983,11.9383,11.9983,2012-08-22
112345,Baroda Pioneer PSU Bond Fund - Plan A - Monthly Dividend Option,INF955L01252,INF955L01260,10.2378,10.1866,10.2378,2012-08-22
112346,Baroda Pioneer PSU Bond Fund - Plan A - Quarterly Dividend Option,INF955L01278,INF955L01286,10.2221,10.1710,10.2221,2012-08-22
117412,BNP Paribas Income and Gold Fund - Dividend Option - Dividend Payout,INF251K01FV4,,10.1423,10.1423,10.1423,2012-08-22
117413,BNP Paribas Income and Gold Fund - Dividend Option - Dividend Reinvestment,INF251K01FW2,,10.1423,10.1423,10.1423,2012-08-22
117411,BNP Paribas Income and Gold Fund - Growth,INF251K01FU6,,10.1423,10.1423,10.1423,2012-08-22
113101,Canara Robeco InDiGo Fund - Regular Plan - Growth,INF760K01AJ0,,12.7203,12.7203,12.7203,2012-08-22
113100,Canara Robeco InDiGo Fund - Regular Plan - Quarterly Dividend,INF760K01AK8,INF760K01AL6,11.7754,11.7754,11.7754,2012-08-22
110147,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Regular Plan - Dividend Option,INF760K01BG4,,10.1471,10.1471,10.1471,2012-08-22
110146,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Regular Plan - Growth Option,INF760K01BH2,,12.6547,12.6547,12.6547,2012-08-22
110148,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Retail Plan - Dividend Option,INF760K01BI0,,10.1450,10.1450,10.1450,2012-08-22
110145,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Retail Plan - Growth Option,INF760K01BJ8,,13.2250,13.2250,13.2250,2012-08-22
111879,Canara Robeco Short Term Fund- Institutional Plan - Growth,INF760K01688,,12.9738,12.9738,12.9738,2012-08-22
111880,Canara Robeco Short Term Fund- Institutional Plan - Monthly Dividend,INF760K01662,INF760K01670,10.1836,10.1836,10.1836,2012-08-22
112080,Canara Robeco Short Term Fund- Institutional Plan - Weekly Dividend,,INF760K01696,10.0389,10.0389,10.0389,2012-08-22
111883,Canara Robeco Short Term Fund- Regular Plan - Growth,INF760K01720,,12.7459,12.7459,12.7459,2012-08-22
111882,Canara Robeco Short Term Fund- Regular Plan - Monthly Dividend,INF760K01704,INF760K01712,10.1793,10.1793,10.1793,2012-08-22
112081,Canara Robeco Short Term Fund- Regular Plan - Weekly Dividend,,INF760K01738,10.1200,10.1200,10.1200,2012-08-22
114530,Daiwa Treasury Advantage Fund - Daily Dividend,-,INF752K01057,1000.1084,1000.1084,1000.1084,2012-08-22
114529,Daiwa Treasury Advantage Fund - Growth,INF752K01040,-,1232.2537,1232.2537,1232.2537,2012-08-22
114532,Daiwa Treasury Advantage Fund - Monthly Dividend,INF752K01081,INF752K01073,1006.8167,1006.8167,1006.8167,2012-08-22
114531,Daiwa Treasury Advantage Fund - Weekly Dividend,-,INF752K01065,1001.2668,1001.2668,1001.2668,2012-08-22
116386,DWS CASH OPPORTUNITIES FUND - ANNUAL DIV,INF223J01IZ0,INF223J01JA1,10.4969,10.4444,10.4969,2012-08-22
114975,DWS CASH OPPORTUNITIES FUND - Bonus Option,INF223J01AC6,,11.4610,11.4037,11.4610,2012-08-22
108195,DWS CASH OPPORTUNITIES FUND - DAILY DIV,,INF223J01AD4,10.0271,9.9770,10.0271,2012-08-22
106036,DWS CASH OPPORTUNITIES FUND - FORTNIGHTLY DIV,INF223J01AE2,INF223J01AF9,10.1701,10.1192,10.1701,2012-08-22
105973,DWS CASH OPPORTUNITIES FUND - GR,INF223J01AG7,,14.8343,14.7601,14.8343,2012-08-22
105974,DWS CASH OPPORTUNITIES FUND - MONTHLY DIV,INF223J01AH5,INF223J01AI3,10.5030,10.4505,10.5030,2012-08-22
116385,DWS CASH OPPORTUNITIES FUND - QUARTERLY DIV,INF223J01IV9,INF223J01IW7,10.3309,10.2792,10.3309,2012-08-22
106035,DWS CASH OPPORTUNITIES FUND - WEEKLY DIV,INF223J01AJ1,INF223J01AK9,10.1126,10.0620,10.1126,2012-08-22
107382,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL - MONTHLY DIV,INF223J01986,INF223J01994,10.6489,10.5957,10.6489,2012-08-22
107380,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL -GR,INF223J01978,,14.3751,14.3032,14.3751,2012-08-22
108243,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL -Weekly,INF223J01AA0,INF223J01AB8,10.0868,10.0364,10.0868,2012-08-22
108244,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL-Daily,,INF223J01945,10.0243,9.9742,10.0243,2012-08-22
